review_id,pair_id,candidate,reviewer_slot,correctness_1_5,specificity_1_5,actionability_1_5,groundedness_1_5,plan_consistency_1_5,conciseness_1_5,safety_1_5,generic_flag,hallucination_flag,premature_completion_flag,unsafe_flag,primary_error_type,notes,session_id,session_revision,confirmed_at
U1-Handyman-S04-10plus-A,U1-Handyman-S04-10plus,A,A,3,4,2,4,2,4,5,no,no,no,no,wrong_action,,7e5647b597e04e51-663deaba,1,2026-07-18T13:18:20+00:00
U1-Handyman-S04-10plus-B,U1-Handyman-S04-10plus,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,7e5647b597e04e51-663deaba,1,2026-07-18T13:18:20+00:00
U1-Handyman-S02-1_second-A,U1-Handyman-S02-1_second,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,b5a0f4cfaaaa573f-981fd6cf,1,2026-07-18T13:23:30+00:00
U1-Handyman-S02-1_second-B,U1-Handyman-S02-1_second,B,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,b5a0f4cfaaaa573f-981fd6cf,1,2026-07-18T13:23:30+00:00
U1-Handyman-S02-2-4-A,U1-Handyman-S02-2-4,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,b5a0f4cfaaaa573f-981fd6cf,1,2026-07-18T13:23:30+00:00
U1-Handyman-S02-2-4-B,U1-Handyman-S02-2-4,B,A,4,4,3,5,3,4,5,no,no,no,no,stale,,b5a0f4cfaaaa573f-981fd6cf,1,2026-07-18T13:23:30+00:00
U1-Handyman-S02-5-9-A,U1-Handyman-S02-5-9,A,A,5,5,4,5,5,5,5,no,no,no,no,none,,b5a0f4cfaaaa573f-981fd6cf,1,2026-07-18T13:23:30+00:00
U1-Handyman-S02-5-9-B,U1-Handyman-S02-5-9,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,b5a0f4cfaaaa573f-981fd6cf,1,2026-07-18T13:23:30+00:00
U1-Handyman-S02-10plus-A,U1-Handyman-S02-10plus,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,b5a0f4cfaaaa573f-981fd6cf,1,2026-07-18T13:23:30+00:00
U1-Handyman-S02-10plus-B,U1-Handyman-S02-10plus,B,A,4,4,3,4,3,4,5,no,no,no,no,wrong_action,,b5a0f4cfaaaa573f-981fd6cf,1,2026-07-18T13:23:30+00:00
U1-Tutorial-S05-1_second-A,U1-Tutorial-S05-1_second,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,f891ad213235f93e-b340bf03,1,2026-07-18T13:27:30+00:00
U1-Tutorial-S05-1_second-B,U1-Tutorial-S05-1_second,B,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,f891ad213235f93e-b340bf03,1,2026-07-18T13:27:30+00:00
U1-Tutorial-S05-2-4-A,U1-Tutorial-S05-2-4,A,A,5,4,3,5,3,5,5,no,no,no,no,other,没有给出有效的下一步指导,f891ad213235f93e-b340bf03,1,2026-07-18T13:27:30+00:00
U1-Tutorial-S05-2-4-B,U1-Tutorial-S05-2-4,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,f891ad213235f93e-b340bf03,1,2026-07-18T13:27:30+00:00
U1-Tutorial-S05-5-9-A,U1-Tutorial-S05-5-9,A,A,3,3,3,5,3,5,5,no,no,no,no,other,输出给出了user的回复，而不是assistant,f891ad213235f93e-b340bf03,1,2026-07-18T13:27:30+00:00
U1-Tutorial-S05-5-9-B,U1-Tutorial-S05-5-9,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,f891ad213235f93e-b340bf03,1,2026-07-18T13:27:30+00:00
U1-Tutorial-S05-10plus-A,U1-Tutorial-S05-10plus,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,f891ad213235f93e-b340bf03,1,2026-07-18T13:27:30+00:00
U1-Tutorial-S05-10plus-B,U1-Tutorial-S05-10plus,B,A,4,5,4,5,4,5,5,no,no,no,no,wrong_action,,f891ad213235f93e-b340bf03,1,2026-07-18T13:27:30+00:00
U1-Arts_and_Crafts-S04-1_second-A,U1-Arts_and_Crafts-S04-1_second,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,cba0787dd64384ae-d3ef7f4b,1,2026-07-18T13:32:43+00:00
U1-Arts_and_Crafts-S04-1_second-B,U1-Arts_and_Crafts-S04-1_second,B,A,4,4,2,3,2,5,5,no,no,no,no,wrong_action,,cba0787dd64384ae-d3ef7f4b,1,2026-07-18T13:32:43+00:00
U1-Arts_and_Crafts-S04-2-4-A,U1-Arts_and_Crafts-S04-2-4,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,cba0787dd64384ae-d3ef7f4b,1,2026-07-18T13:32:43+00:00
U1-Arts_and_Crafts-S04-2-4-B,U1-Arts_and_Crafts-S04-2-4,B,A,5,3,4,5,3,5,5,no,no,no,no,none,,cba0787dd64384ae-d3ef7f4b,1,2026-07-18T13:32:43+00:00
U1-Arts_and_Crafts-S04-5-9-A,U1-Arts_and_Crafts-S04-5-9,A,A,4,4,4,5,4,5,5,no,no,no,no,none,,cba0787dd64384ae-d3ef7f4b,1,2026-07-18T13:32:43+00:00
U1-Arts_and_Crafts-S04-5-9-B,U1-Arts_and_Crafts-S04-5-9,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,cba0787dd64384ae-d3ef7f4b,1,2026-07-18T13:32:43+00:00
U1-Arts_and_Crafts-S04-10plus-A,U1-Arts_and_Crafts-S04-10plus,A,A,5,4,5,5,4,5,5,no,no,no,no,none,,cba0787dd64384ae-d3ef7f4b,1,2026-07-18T13:32:43+00:00
U1-Arts_and_Crafts-S04-10plus-B,U1-Arts_and_Crafts-S04-10plus,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,cba0787dd64384ae-d3ef7f4b,1,2026-07-18T13:32:43+00:00
U1-Arts_and_Crafts-S02-1_second-A,U1-Arts_and_Crafts-S02-1_second,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,0529003148c61a83-9a44fe2d,1,2026-07-18T13:36:55+00:00
U1-Arts_and_Crafts-S02-1_second-B,U1-Arts_and_Crafts-S02-1_second,B,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,0529003148c61a83-9a44fe2d,1,2026-07-18T13:36:55+00:00
U1-Arts_and_Crafts-S02-2-4-A,U1-Arts_and_Crafts-S02-2-4,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,0529003148c61a83-9a44fe2d,1,2026-07-18T13:36:55+00:00
U1-Arts_and_Crafts-S02-2-4-B,U1-Arts_and_Crafts-S02-2-4,B,A,5,5,5,5,5,5,5,no,no,no,no,none,,0529003148c61a83-9a44fe2d,1,2026-07-18T13:36:55+00:00
U1-Arts_and_Crafts-S02-5-9-A,U1-Arts_and_Crafts-S02-5-9,A,A,5,5,5,5,5,5,5,no,no,no,no,none,,0529003148c61a83-9a44fe2d,1,2026-07-18T13:36:55+00:00
U1-Arts_and_Crafts-S02-5-9-B,U1-Arts_and_Crafts-S02-5-9,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,0529003148c61a83-9a44fe2d,1,2026-07-18T13:36:55+00:00
U1-Arts_and_Crafts-S02-10plus-A,U1-Arts_and_Crafts-S02-10plus,A,A,4,3,3,5,3,4,5,no,no,no,no,wrong_action,,0529003148c61a83-9a44fe2d,1,2026-07-18T13:36:55+00:00
U1-Arts_and_Crafts-S02-10plus-B,U1-Arts_and_Crafts-S02-10plus,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,0529003148c61a83-9a44fe2d,1,2026-07-18T13:36:55+00:00
U1-Arts_and_Crafts-S03-1_second-A,U1-Arts_and_Crafts-S03-1_second,A,A,2,2,1,3,2,3,5,no,no,no,no,other,输出认为自己是user，而不是assistant,17d55640c0ceccb8-6607c7bc,1,2026-07-18T13:39:31+00:00
U1-Arts_and_Crafts-S03-1_second-B,U1-Arts_and_Crafts-S03-1_second,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,17d55640c0ceccb8-6607c7bc,1,2026-07-18T13:39:31+00:00
U1-Arts_and_Crafts-S03-2-4-A,U1-Arts_and_Crafts-S03-2-4,A,A,3,2,1,3,2,4,5,no,no,no,no,other,,17d55640c0ceccb8-6607c7bc,1,2026-07-18T13:39:31+00:00
U1-Arts_and_Crafts-S03-2-4-B,U1-Arts_and_Crafts-S03-2-4,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,17d55640c0ceccb8-6607c7bc,1,2026-07-18T13:39:31+00:00
U1-Arts_and_Crafts-S03-5-9-A,U1-Arts_and_Crafts-S03-5-9,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,17d55640c0ceccb8-6607c7bc,1,2026-07-18T13:39:31+00:00
U1-Arts_and_Crafts-S03-5-9-B,U1-Arts_and_Crafts-S03-5-9,B,A,5,5,5,5,5,5,5,no,no,no,no,none,,17d55640c0ceccb8-6607c7bc,1,2026-07-18T13:39:31+00:00
U1-Arts_and_Crafts-S03-10plus-A,U1-Arts_and_Crafts-S03-10plus,A,A,3,3,4,4,3,5,5,no,no,no,no,none,,17d55640c0ceccb8-6607c7bc,1,2026-07-18T13:39:31+00:00
U1-Arts_and_Crafts-S03-10plus-B,U1-Arts_and_Crafts-S03-10plus,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,17d55640c0ceccb8-6607c7bc,1,2026-07-18T13:39:31+00:00
U1-Handyman-S01-1_second-A,U1-Handyman-S01-1_second,A,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,9d8733825f2d1b80-6d1839ac,1,2026-07-18T13:41:39+00:00
U1-Handyman-S01-1_second-B,U1-Handyman-S01-1_second,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,9d8733825f2d1b80-6d1839ac,1,2026-07-18T13:41:39+00:00
U1-Handyman-S01-2-4-A,U1-Handyman-S01-2-4,A,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,9d8733825f2d1b80-6d1839ac,1,2026-07-18T13:41:39+00:00
U1-Handyman-S01-2-4-B,U1-Handyman-S01-2-4,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,9d8733825f2d1b80-6d1839ac,1,2026-07-18T13:41:39+00:00
U1-Handyman-S01-5-9-A,U1-Handyman-S01-5-9,A,A,4,4,5,5,5,5,5,no,no,no,no,none,,9d8733825f2d1b80-6d1839ac,1,2026-07-18T13:41:39+00:00
U1-Handyman-S01-5-9-B,U1-Handyman-S01-5-9,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,9d8733825f2d1b80-6d1839ac,1,2026-07-18T13:41:39+00:00
U1-Handyman-S01-10plus-A,U1-Handyman-S01-10plus,A,A,5,4,4,5,5,5,5,no,no,no,no,none,,9d8733825f2d1b80-6d1839ac,1,2026-07-18T13:41:39+00:00
U1-Handyman-S01-10plus-B,U1-Handyman-S01-10plus,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,9d8733825f2d1b80-6d1839ac,1,2026-07-18T13:41:39+00:00
U1-Tutorial-S04-1_second-A,U1-Tutorial-S04-1_second,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,86f3d55356270dfc-fe5f633e,1,2026-07-18T13:46:03+00:00
U1-Tutorial-S04-1_second-B,U1-Tutorial-S04-1_second,B,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,86f3d55356270dfc-fe5f633e,1,2026-07-18T13:46:03+00:00
U1-Tutorial-S04-2-4-A,U1-Tutorial-S04-2-4,A,A,4,5,4,5,5,5,5,no,no,no,no,none,,86f3d55356270dfc-fe5f633e,1,2026-07-18T13:46:03+00:00
U1-Tutorial-S04-2-4-B,U1-Tutorial-S04-2-4,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,86f3d55356270dfc-fe5f633e,1,2026-07-18T13:46:03+00:00
U1-Tutorial-S04-5-9-A,U1-Tutorial-S04-5-9,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,86f3d55356270dfc-fe5f633e,1,2026-07-18T13:46:03+00:00
U1-Tutorial-S04-5-9-B,U1-Tutorial-S04-5-9,B,A,4,3,3,5,3,4,5,no,no,no,no,wrong_action,,86f3d55356270dfc-fe5f633e,1,2026-07-18T13:46:03+00:00
U1-Tutorial-S04-10plus-A,U1-Tutorial-S04-10plus,A,A,4,4,4,5,4,5,5,no,no,no,no,none,,86f3d55356270dfc-fe5f633e,1,2026-07-18T13:46:03+00:00
U1-Tutorial-S04-10plus-B,U1-Tutorial-S04-10plus,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,86f3d55356270dfc-fe5f633e,1,2026-07-18T13:46:03+00:00
U1-Tutorial-S01-1_second-A,U1-Tutorial-S01-1_second,A,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,dc4225d35bb8705e-ae20a8b5,1,2026-07-18T13:48:12+00:00
U1-Tutorial-S01-1_second-B,U1-Tutorial-S01-1_second,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,dc4225d35bb8705e-ae20a8b5,1,2026-07-18T13:48:12+00:00
U1-Tutorial-S01-2-4-A,U1-Tutorial-S01-2-4,A,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,dc4225d35bb8705e-ae20a8b5,1,2026-07-18T13:48:12+00:00
U1-Tutorial-S01-2-4-B,U1-Tutorial-S01-2-4,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,dc4225d35bb8705e-ae20a8b5,1,2026-07-18T13:48:12+00:00
U1-Tutorial-S01-5-9-A,U1-Tutorial-S01-5-9,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,dc4225d35bb8705e-ae20a8b5,1,2026-07-18T13:48:12+00:00
U1-Tutorial-S01-5-9-B,U1-Tutorial-S01-5-9,B,A,4,4,3,4,3,4,5,no,no,no,no,wrong_action,,dc4225d35bb8705e-ae20a8b5,1,2026-07-18T13:48:12+00:00
U1-Tutorial-S01-10plus-A,U1-Tutorial-S01-10plus,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,dc4225d35bb8705e-ae20a8b5,1,2026-07-18T13:48:12+00:00
U1-Tutorial-S01-10plus-B,U1-Tutorial-S01-10plus,B,A,5,5,5,5,5,5,5,no,no,no,no,none,,dc4225d35bb8705e-ae20a8b5,1,2026-07-18T13:48:12+00:00
U1-Chef-S02-1_second-A,U1-Chef-S02-1_second,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,49528620f24575ba-5ca17c02,1,2026-07-18T13:50:15+00:00
U1-Chef-S02-1_second-B,U1-Chef-S02-1_second,B,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,49528620f24575ba-5ca17c02,1,2026-07-18T13:50:15+00:00
U1-Chef-S02-2-4-A,U1-Chef-S02-2-4,A,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,49528620f24575ba-5ca17c02,1,2026-07-18T13:50:15+00:00
U1-Chef-S02-2-4-B,U1-Chef-S02-2-4,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,49528620f24575ba-5ca17c02,1,2026-07-18T13:50:15+00:00
U1-Chef-S02-5-9-A,U1-Chef-S02-5-9,A,A,2,2,2,4,3,4,5,no,no,no,no,other,输出把自己当成了user,49528620f24575ba-5ca17c02,1,2026-07-18T13:50:15+00:00
U1-Chef-S02-5-9-B,U1-Chef-S02-5-9,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,49528620f24575ba-5ca17c02,1,2026-07-18T13:50:15+00:00
U1-Chef-S02-10plus-A,U1-Chef-S02-10plus,A,A,5,5,5,5,5,5,5,no,no,no,no,none,,49528620f24575ba-5ca17c02,1,2026-07-18T13:50:15+00:00
U1-Chef-S02-10plus-B,U1-Chef-S02-10plus,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,49528620f24575ba-5ca17c02,1,2026-07-18T13:50:15+00:00
U1-Tutorial-S03-1_second-A,U1-Tutorial-S03-1_second,A,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,0e7a1aa0bc246683-29af396f,1,2026-07-18T14:14:24+00:00
U1-Tutorial-S03-1_second-B,U1-Tutorial-S03-1_second,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,0e7a1aa0bc246683-29af396f,1,2026-07-18T14:14:24+00:00
U1-Tutorial-S03-2-4-A,U1-Tutorial-S03-2-4,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,0e7a1aa0bc246683-29af396f,1,2026-07-18T14:14:24+00:00
U1-Tutorial-S03-2-4-B,U1-Tutorial-S03-2-4,B,A,3,3,3,4,4,5,5,no,no,no,no,stale,,0e7a1aa0bc246683-29af396f,1,2026-07-18T14:14:24+00:00
U1-Tutorial-S03-5-9-A,U1-Tutorial-S03-5-9,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,0e7a1aa0bc246683-29af396f,1,2026-07-18T14:14:24+00:00
U1-Tutorial-S03-5-9-B,U1-Tutorial-S03-5-9,B,A,2,2,1,1,2,3,5,no,yes,yes,no,premature,,0e7a1aa0bc246683-29af396f,1,2026-07-18T14:14:24+00:00
U1-Tutorial-S03-10plus-A,U1-Tutorial-S03-10plus,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,0e7a1aa0bc246683-29af396f,1,2026-07-18T14:14:24+00:00
U1-Tutorial-S03-10plus-B,U1-Tutorial-S03-10plus,B,A,2,2,1,1,3,4,4,no,yes,yes,no,premature,,0e7a1aa0bc246683-29af396f,1,2026-07-18T14:14:24+00:00
U1-Handyman-S05-1_second-A,U1-Handyman-S05-1_second,A,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,65a264cea1bb1ff5-a47f0df1,1,2026-07-18T14:15:54+00:00
U1-Handyman-S05-1_second-B,U1-Handyman-S05-1_second,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,65a264cea1bb1ff5-a47f0df1,1,2026-07-18T14:15:54+00:00
U1-Handyman-S05-2-4-A,U1-Handyman-S05-2-4,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,65a264cea1bb1ff5-a47f0df1,1,2026-07-18T14:15:54+00:00
U1-Handyman-S05-2-4-B,U1-Handyman-S05-2-4,B,A,5,5,5,5,5,5,5,no,no,no,no,none,,65a264cea1bb1ff5-a47f0df1,1,2026-07-18T14:15:54+00:00
U1-Handyman-S05-5-9-A,U1-Handyman-S05-5-9,A,A,5,5,5,5,5,5,5,no,no,no,no,none,,65a264cea1bb1ff5-a47f0df1,1,2026-07-18T14:15:54+00:00
U1-Handyman-S05-5-9-B,U1-Handyman-S05-5-9,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,65a264cea1bb1ff5-a47f0df1,1,2026-07-18T14:15:54+00:00
U1-Handyman-S05-10plus-A,U1-Handyman-S05-10plus,A,A,5,5,5,5,5,5,5,no,no,no,no,none,,65a264cea1bb1ff5-a47f0df1,1,2026-07-18T14:15:54+00:00
U1-Handyman-S05-10plus-B,U1-Handyman-S05-10plus,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,65a264cea1bb1ff5-a47f0df1,1,2026-07-18T14:15:54+00:00
U1-Arts_and_Crafts-S01-1_second-A,U1-Arts_and_Crafts-S01-1_second,A,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,d6cb618bb700b7c0-fe34d4f4,1,2026-07-18T14:22:39+00:00
U1-Arts_and_Crafts-S01-1_second-B,U1-Arts_and_Crafts-S01-1_second,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,d6cb618bb700b7c0-fe34d4f4,1,2026-07-18T14:22:39+00:00
U1-Arts_and_Crafts-S01-2-4-A,U1-Arts_and_Crafts-S01-2-4,A,A,5,5,5,4,4,4,4,no,no,no,no,none,,d6cb618bb700b7c0-fe34d4f4,1,2026-07-18T14:22:39+00:00
U1-Arts_and_Crafts-S01-2-4-B,U1-Arts_and_Crafts-S01-2-4,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,d6cb618bb700b7c0-fe34d4f4,1,2026-07-18T14:22:39+00:00
U1-Arts_and_Crafts-S01-5-9-A,U1-Arts_and_Crafts-S01-5-9,A,A,5,4,5,5,5,5,5,no,no,no,no,none,,d6cb618bb700b7c0-fe34d4f4,1,2026-07-18T14:22:39+00:00
U1-Arts_and_Crafts-S01-5-9-B,U1-Arts_and_Crafts-S01-5-9,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,d6cb618bb700b7c0-fe34d4f4,1,2026-07-18T14:22:39+00:00
U1-Arts_and_Crafts-S01-10plus-A,U1-Arts_and_Crafts-S01-10plus,A,A,4,4,4,4,4,5,5,no,no,no,no,none,,d6cb618bb700b7c0-fe34d4f4,1,2026-07-18T14:22:39+00:00
U1-Arts_and_Crafts-S01-10plus-B,U1-Arts_and_Crafts-S01-10plus,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,d6cb618bb700b7c0-fe34d4f4,1,2026-07-18T14:22:39+00:00
U1-Chef-S05-1_second-A,U1-Chef-S05-1_second,A,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,33aacac19b8ef511-23472a62,1,2026-07-18T14:25:16+00:00
U1-Chef-S05-1_second-B,U1-Chef-S05-1_second,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,33aacac19b8ef511-23472a62,1,2026-07-18T14:25:16+00:00
U1-Chef-S05-2-4-A,U1-Chef-S05-2-4,A,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,33aacac19b8ef511-23472a62,1,2026-07-18T14:25:16+00:00
U1-Chef-S05-2-4-B,U1-Chef-S05-2-4,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,33aacac19b8ef511-23472a62,1,2026-07-18T14:25:16+00:00
U1-Chef-S05-5-9-A,U1-Chef-S05-5-9,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,33aacac19b8ef511-23472a62,1,2026-07-18T14:25:16+00:00
U1-Chef-S05-5-9-B,U1-Chef-S05-5-9,B,A,3,4,3,4,3,4,5,no,no,no,no,wrong_object,,33aacac19b8ef511-23472a62,1,2026-07-18T14:25:16+00:00
U1-Chef-S05-10plus-A,U1-Chef-S05-10plus,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,33aacac19b8ef511-23472a62,1,2026-07-18T14:25:16+00:00
U1-Chef-S05-10plus-B,U1-Chef-S05-10plus,B,A,4,4,4,4,4,4,4,no,no,no,no,none,,33aacac19b8ef511-23472a62,1,2026-07-18T14:25:16+00:00
U1-Chef-S04-1_second-A,U1-Chef-S04-1_second,A,A,3,3,2,4,3,4,4,no,no,no,no,none,,5ed574f36f1b666c-4b37bffe,1,2026-07-18T14:28:45+00:00
U1-Chef-S04-1_second-B,U1-Chef-S04-1_second,B,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,5ed574f36f1b666c-4b37bffe,1,2026-07-18T14:28:45+00:00
U1-Chef-S04-2-4-A,U1-Chef-S04-2-4,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,5ed574f36f1b666c-4b37bffe,1,2026-07-18T14:28:45+00:00
U1-Chef-S04-2-4-B,U1-Chef-S04-2-4,B,A,3,4,3,4,3,4,5,no,no,no,no,stale,,5ed574f36f1b666c-4b37bffe,1,2026-07-18T14:28:45+00:00
U1-Chef-S04-5-9-A,U1-Chef-S04-5-9,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,5ed574f36f1b666c-4b37bffe,1,2026-07-18T14:28:45+00:00
U1-Chef-S04-5-9-B,U1-Chef-S04-5-9,B,A,4,3,4,4,4,5,5,no,no,no,no,none,,5ed574f36f1b666c-4b37bffe,1,2026-07-18T14:28:45+00:00
U1-Chef-S04-10plus-A,U1-Chef-S04-10plus,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,5ed574f36f1b666c-4b37bffe,1,2026-07-18T14:28:45+00:00
U1-Chef-S04-10plus-B,U1-Chef-S04-10plus,B,A,5,5,4,5,5,5,5,no,no,no,no,none,,5ed574f36f1b666c-4b37bffe,1,2026-07-18T14:28:45+00:00
U1-Tutorial-S02-1_second-A,U1-Tutorial-S02-1_second,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,70fe7910369441cb-89d5f2d3,1,2026-07-18T14:30:37+00:00
U1-Tutorial-S02-1_second-B,U1-Tutorial-S02-1_second,B,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,70fe7910369441cb-89d5f2d3,1,2026-07-18T14:30:37+00:00
U1-Tutorial-S02-2-4-A,U1-Tutorial-S02-2-4,A,A,2,1,1,3,2,2,5,yes,no,no,no,generic,,70fe7910369441cb-89d5f2d3,1,2026-07-18T14:30:37+00:00
U1-Tutorial-S02-2-4-B,U1-Tutorial-S02-2-4,B,A,1,1,1,1,1,1,5,yes,no,no,no,generic,,70fe7910369441cb-89d5f2d3,1,2026-07-18T14:30:37+00:00
